model,africa,asia,europe,middle east,north america,south america
3 Series,3892595,3962239,3959930,3889367,3879277,3697895
5 Series,4020702,3935629,3855515,3708878,3691777,3885018
7 Series,3699471,4004066,3914409,4080751,4087259,4000510
M3,3448709,3935579,3649697,3832415,3792785,3690509
M5,3676252,3928390,4002667,3936889,3602546,3632944
X1,3928136,4192289,3850033,3818212,3987029,3630361
X3,3742723,3796115,3705572,3745004,4056192,3699923
X5,3972541,3748736,3688138,3946209,3744219,3609906
X6,3630167,3756074,3772519,3777388,3702034,4023804
i3,3967283,3739218,3954257,3840814,3872237,3760040
i8,3586673,3975942,4202401,3750693,3987274,3920908
